key,file_count,size_bytes,code_lines,comment_lines,blank_lines,doc_lines,total_lines,avg_risk_score,avg_hotspot_score,total_churn,tracked_files,binary_files
logs,137,15147176,105695,0,4,0,105699,3.07,3.71,0,0,0
_release_staging,670,982199788,7675,337,4946,9620,22578,1.61,3.67,0,0,387
src,23,171752,4031,187,882,0,5100,26.96,15474.14,7154,23,0
tools,14,130602,2941,162,575,0,3678,25.7,6810.83,2239,13,0
.,19,2857415,1172,6,275,695,2148,4.8,611.02,2125,17,4
tests,19,38988,945,32,254,0,1231,20.85,3189.63,1543,19,0
templates,3,29361,664,4,92,0,760,19.82,3845.9,1468,3,0
04_user_data,3,83937,595,0,0,0,595,5.73,69.47,42,2,0
ontology,11,222309,94,0,440,4827,5361,13.46,544.27,5375,11,0
.venv_broken_20260215,9,9438488,0,0,0,0,0,0.0,1.0,0,0,9
02_wardrobe_images,584,981375926,0,0,2726,4171,6897,0.0,1.0,0,0,385
03_database,1,245760,0,0,0,0,0,0.0,1.0,0,0,1
docs,54,3799942,0,0,14186,81111,95297,0.41,15.37,776,9,0
