key,file_count,size_bytes,code_lines,comment_lines,blank_lines,doc_lines,total_lines,avg_risk_score,avg_hotspot_score,total_churn,tracked_files,binary_files
LOG,138,15230095,106248,0,4,0,106252,3.16,3.75,0,0,0
Python,101,591235,13721,652,3034,0,17407,23.66,5044.56,10350,50,0
HTML,6,58722,1328,8,184,0,1520,12.88,1926.78,1468,3,0
JSON,10,346047,987,0,0,2219,3206,5.27,909.22,945,3,0
PowerShell,6,19342,478,56,74,0,608,3.58,336.03,304,3,0
BAK,3,17988,446,0,105,0,551,6.48,682.78,262,1,0
YAML,4,6246,188,0,26,0,214,2.08,181.98,115,2,0
No Extension,4,3657,178,0,45,0,223,2.5,253.7,184,2,0
Batch,2,12600,130,12,14,0,156,2.85,242.65,78,1,0
EXAMPLE,1,1430,38,0,8,0,46,2.33,250.13,46,1,0
SAMPLE,2,868,36,0,4,0,40,0.77,47.54,20,1,0
INI,2,416,26,0,0,0,26,0.53,29.3,13,1,0
CODE-WORKSPACE,1,60,8,0,0,0,8,0.44,29.9,8,1,0
DB,2,491520,0,0,0,0,0,0.0,1.0,0,0,2
EXE,1,270616,0,0,0,0,0,0.0,1.0,0,0,1
JFIF,6,2576588,0,0,0,0,0,0.0,1.0,0,0,6
JPEG,136,387263576,0,0,0,0,0,0.0,1.0,0,0,136
JPG,630,1572562381,0,0,0,0,0,0.0,1.0,0,2,630
Markdown,76,4013574,0,0,15412,89765,105177,2.48,91.72,6895,22,0
PNG,2,2613438,0,0,0,0,0,0.0,1.0,0,2,2
PYD,8,9167872,0,0,0,0,0,0.0,1.0,0,0,8
Text,406,493173,0,0,5470,8440,13910,0.0,1.08,34,2,1
