path,name,extension,language,role,top_level_dir,size_bytes,is_binary,is_text,total_lines,code_lines,comment_lines,blank_lines,doc_lines,tracked,commit_count,additions,deletions,churn,author_count,authors,last_commit_iso,coverage_percent,coverage_statements,coverage_branches,coverage_partial_branches,risk_score,risk_label,hotspot_score,size_bucket,notes,module_name,class_count,function_count,method_count,test_function_count,module_docstring,docstring_lines,import_count,internal_import_count,external_import_count,average_function_length,max_function_length,average_function_cc,max_function_cc,average_max_nesting,max_nesting,approx_cyclomatic_complexity,approx_halstead_volume,approx_halstead_difficulty,approx_halstead_effort,approx_maintainability_index,radon_mi,radon_cc_average,radon_cc_max,syntax_error,internal_imports,external_imports
src/api_v2.py,api_v2.py,.py,Python,application,src,38176,False,True,1154,929,27,198,0,True,8,1550,396,1946,2,Andreas; Andreas Keis,2026-02-22T17:25:22+00:00,0.0,0,0,0,82.42,Critical,152276.26,L (500-999),large-file; low-maintainability; high-complexity-function; high-churn,src.api_v2,8,30,0,0,False,4,20,3,16,31.77,203,6.93,43,1.4,6,208,30597.68,35.7,1092266.02,0.0,,,,,src; src.error_contract; src.ontology_runtime,PIL; __future__; base64; fastapi; inspect; io; logging; os; pathlib; pydantic; re; shutil; sqlite3; stat; time; typing
src/ingest_wardrobe.py,ingest_wardrobe.py,.py,Python,application,src,26571,False,True,682,565,20,97,0,True,3,894,212,1106,2,Andreas; Andreas Keis,2026-02-22T14:18:16+00:00,0.0,0,0,0,69.61,High,61768.33,L (500-999),large-file; low-maintainability; high-complexity-function; high-churn,src.ingest_wardrobe,1,21,0,0,False,9,23,3,20,29,297,5.1,52,1.43,9,107,16775.96,26.65,447145.51,0.0,,,,,src; src.db_schema; src.run_registry,PIL; __future__; argparse; base64; dataclasses; gc; hashlib; inspect; io; json; logging; openai; os; pathlib; shutil; sqlite3; stat; sys; time; typing
src/ontology_runtime.py,ontology_runtime.py,.py,Python,application,src,17673,False,True,465,385,12,68,0,True,1,465,0,465,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,63.22,High,51074.26,M (200-499),low-maintainability; high-complexity-function; high-churn,src.ontology_runtime,3,2,10,0,False,0,10,1,9,34.25,134,11.75,60,2.08,8,141,14880.1,36.25,539363.17,0.0,,,,,src,__future__; dataclasses; difflib; logging; pathlib; re; sqlite3; typing; yaml
src/web_dashboard.py,web_dashboard.py,.py,Python,application,src,19295,False,True,611,465,22,124,0,True,8,868,257,1125,2,Andreas; Andreas Keis,2026-03-01T17:25:42+00:00,0.0,0,0,0,57.51,High,9984.56,M (200-499),low-maintainability; high-churn,src.web_dashboard,0,0,0,0,False,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,
_release_staging/CapsuleWardrobeRAG/src/api_v2.py,api_v2.py,.py,Python,other,_release_staging,38176,False,True,1154,929,27,198,0,False,0,0,0,0,0,,,0.0,0,0,0,57.42,High,78.21,L (500-999),large-file; low-maintainability; high-complexity-function,_release_staging.CapsuleWardrobeRAG.src.api_v2,8,30,0,0,False,4,20,3,16,31.77,203,6.93,43,1.4,6,208,30597.68,35.7,1092266.02,0.0,,,,,src; src.error_contract; src.ontology_runtime,PIL; __future__; base64; fastapi; inspect; io; logging; os; pathlib; pydantic; re; shutil; sqlite3; stat; time; typing
src/category_map.py,category_map.py,.py,Python,application,src,10940,False,True,364,273,38,53,0,True,1,364,0,364,1,Andreas,2026-03-01T16:22:46+00:00,0.0,0,0,0,54.87,Moderate,38864.18,M (200-499),low-maintainability; high-complexity-function; high-churn,src.category_map,0,7,0,0,False,0,3,0,3,24.14,114,12.14,65,0.86,2,85,7365.61,17.05,125580.75,8.35,,,,,,__future__; re; typing
tools/repo_metrics_bold.py,repo_metrics_bold.py,.py,Python,tooling,tools,54057,False,True,1439,1175,54,210,0,False,0,0,0,0,0,,,0.0,0,0,0,53.98,Moderate,65.8,XL (1000+),large-file; low-maintainability; high-complexity-function,tools.repo_metrics_bold,9,37,21,0,True,18,21,0,21,18.64,120,5.45,30,1.02,5,316,54847.24,41.95,2301088.5,0.0,,,,,,__future__; argparse; ast; collections; csv; dataclasses; datetime; fnmatch; json; math; os; pathlib; radon.complexity; radon.metrics; re; shutil; statistics; subprocess; sys; textwrap; typing
_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py,ontology_runtime.py,.py,Python,other,_release_staging,17673,False,True,465,385,12,68,0,False,0,0,0,0,0,,,0.0,0,0,0,50.05,Moderate,109.6,M (200-499),low-maintainability; high-complexity-function,_release_staging.CapsuleWardrobeRAG.src.ontology_runtime,3,2,10,0,False,0,10,1,9,34.25,134,11.75,60,2.08,8,141,14880.1,36.25,539363.17,0.0,,,,,src,__future__; dataclasses; difflib; logging; pathlib; re; sqlite3; typing; yaml
wardrobe_export.json,wardrobe_export.json,.json,JSON,config,.,58739,False,True,903,903,0,0,0,True,1,903,0,903,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,49.3,Moderate,8878.88,L (500-999),large-file; high-churn,,,,,,,,,,,,,,,,,,,,,,,,,,,
tools/project_audit_dump.py,project_audit_dump.py,.py,Python,tooling,tools,15290,False,True,446,350,26,70,0,True,1,446,0,446,1,Andreas,2026-02-21T14:06:28+00:00,0.0,0,0,0,48.89,Moderate,24049.49,M (200-499),low-maintainability; high-complexity-function; high-churn,tools.project_audit_dump,1,14,0,0,True,27,14,0,14,23.14,147,5.36,24,1.43,4,75,11584.62,22.5,260701.45,5.96,,,,,,__future__; argparse; base64; dataclasses; datetime; fnmatch; hashlib; os; pathlib; platform; re; subprocess; sys; typing
