key,file_count,size_bytes,code_lines,comment_lines,blank_lines,doc_lines,total_lines,avg_risk_score,avg_hotspot_score,total_churn,tracked_files,binary_files
logs,137,15147176,105695,0,4,0,105699,0.0,0.56,0,0,0
_release_staging,670,982199788,7668,344,4946,9620,22578,0.6,1.2,0,0,387
tools,15,198825,4414,229,840,0,5483,28.8,5725.44,2239,13,0
src,23,171752,4028,190,882,0,5100,30.82,18763.4,7154,23,0
.,19,2857415,1172,6,275,695,2148,1.4,193.99,2125,17,4
tests,19,38988,942,35,254,0,1231,12.43,2050.26,1543,19,0
templates,3,29361,664,4,92,0,760,19.6,2884.43,1468,3,0
04_user_data,3,83937,595,0,0,0,595,0.38,23.71,42,2,0
ontology,11,222309,94,0,440,4827,5361,1.56,94.7,5375,11,0
.venv_broken_20260215,9,9438488,0,0,0,0,0,0.0,0.2,0,0,9
02_wardrobe_images,584,981375926,0,0,2726,4171,6897,0.0,0.15,0,0,385
03_database,1,245760,0,0,0,0,0,0.0,0.15,0,0,1
docs,54,3799942,0,0,14186,81111,95297,0.04,2.31,776,9,0
