key,file_count,size_bytes,code_lines,comment_lines,blank_lines,doc_lines,total_lines,avg_risk_score,avg_hotspot_score,total_churn,tracked_files,binary_files
log,138,15230095,106248,0,4,0,106252,0.0,0.56,0,0,0
other,58,12280236,6059,311,1285,0,7655,2.88,8.88,238,4,15
tooling,15,198825,4414,229,840,0,5483,28.8,5725.44,2239,13,0
application,23,171752,4028,190,882,0,5100,30.82,18763.4,7154,23,0
test,38,77976,1884,70,508,0,2462,11.73,1036.66,1543,19,0
template,6,58722,1328,8,184,0,1520,13.96,1445.08,1468,3,0
config,13,69127,1311,0,60,0,1371,2.17,278.4,1151,7,0
asset,768,1962439395,0,0,0,0,0,0.0,0.15,0,4,768
data,2,491520,0,0,0,0,0,0.0,0.15,0,0,2
documentation,487,4792019,0,0,20882,100424,121306,0.04,2.28,6929,24,1
