path,name,extension,language,role,top_level_dir,size_bytes,is_binary,is_text,total_lines,code_lines,comment_lines,blank_lines,doc_lines,tracked,visible_to_git,commit_count,additions,deletions,churn,author_count,authors,last_commit_iso,coverage_percent,coverage_statements,coverage_branches,coverage_partial_branches,risk_score,risk_label,hotspot_score,size_bucket,content_sha1,notes,module_name,class_count,function_count,method_count,test_function_count,module_docstring,docstring_lines,import_count,internal_import_count,external_import_count,average_function_length,max_function_length,average_function_cc,max_function_cc,average_max_nesting,max_nesting,approx_cyclomatic_complexity,approx_halstead_volume,approx_halstead_difficulty,approx_halstead_effort,approx_maintainability_index,radon_available,radon_mi,radon_cc_average,radon_cc_max,syntax_error,internal_imports,external_imports
.env.example,.env.example,.example,EXAMPLE,other,.,1430,False,True,46,38,0,8,0,True,True,2,46,0,46,1,Andreas,2026-02-21T20:31:45+00:00,0.0,0,0,0,0.84,Low,50.03,XS (<50),e70999f5ff7aa5bb1b7fe47261662c24a8685d91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.gitattributes,.gitattributes,,No Extension,other,.,1161,False,True,52,46,0,6,0,True,True,1,52,0,52,1,Andreas,2026-02-21T20:04:51+00:00,0.0,0,0,0,0.98,Low,59.2,XS (<50),2fd803d0efdcf75965c7428ed5a8eb0cadc7aeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.gitignore,.gitignore,,No Extension,config,.,845,False,True,72,55,0,17,0,True,True,5,75,3,78,2,Andreas; Andreas Keis,2026-03-01T16:34:42+00:00,0.0,0,0,0,4.01,Low,161.28,S (50-199),f812f223b7f15382fed281c12a007ca4e30a6b80,missing-coverage-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_user_data/andreas/profile.json,profile.json,.json,JSON,config,04_user_data,461,False,True,19,19,0,0,0,True,True,1,19,0,19,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,2.43,Low,30.75,XS (<50),2523cabd2d9fa4c6f372dc22cb5fc05decf70c5e,missing-coverage-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_user_data/karen/profile.json,profile.json,.json,JSON,config,04_user_data,557,False,True,23,23,0,0,0,True,True,1,23,0,23,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,2.57,Low,39.01,XS (<50),bbeb3a38445c88a789915c170702a8869e521a0f,missing-coverage-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANALYSE_Ontologie_und_Code_Verbesserungen.md,ANALYSE_Ontologie_und_Code_Verbesserungen.md,.md,Markdown,documentation,.,10855,False,True,219,0,0,44,175,True,True,1,219,0,219,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,0.81,Low,33.0,XS (<50),9d44f2b4db0367ce257795b23a7d5db7b507e0ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDIENUNGSANLEITUNG Karens Wardrobe.txt,BEDIENUNGSANLEITUNG Karens Wardrobe.txt,.txt,Text,documentation,.,1698,False,True,34,0,0,13,21,True,True,1,34,0,34,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,0.13,Low,5.25,XS (<50),1aa2dfdf33bca08cb2e16d827ca31ce4a0966f0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CapsuleWardrobeRAG.code-workspace,CapsuleWardrobeRAG.code-workspace,.code-workspace,CODE-WORKSPACE,other,.,60,False,True,8,8,0,0,0,True,True,1,8,0,8,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,0.16,Low,5.98,XS (<50),6874fba33a5edd16a2f27bb0162e3e44553f6c08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dateistruktur1.jpg,Dateistruktur1.jpg,.jpg,JPG,asset,.,78092,True,False,0,0,0,0,0,True,True,1,0,0,0,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,0.0,Low,0.15,XS (<50),,binary-asset,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dateistruktur2.jpg,Dateistruktur2.jpg,.jpg,JPG,asset,.,59413,True,False,0,0,0,0,0,True,True,1,0,0,0,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,0.0,Low,0.15,XS (<50),,binary-asset,,,,,,,,,,,,,,,,,,,,,,,,,,,,
